lease_id,cmu_name,grow_area_name,grow_area_desc,rainfall_thresh_in,longitude,latitude
1-C-89,U127,C01,Mill Creek,1.5,-77.37712474648562,34.52824814590186
194,U129,B09,Stump Sound,1.5,-77.47922439567765,34.48367334191693
195,U130,B09,Stump Sound,1.5,-77.48642938998773,34.47144913314933
447,U130,B09,Stump Sound,1.5,-77.50107242967285,34.46625287877696
26-C-94,U127,C01,Mill Creek,1.5,-77.37364891729567,34.52511410365655
9510,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.39325062807062,34.872183810828744
8602,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.40715368421075,34.87183916612292
9513-A,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.40774331650584,34.869068784687265
443,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.3918094547213,34.87497858089525
1259571,U106,E06,North River,3,-76.55094651397941,34.701302725294425
2401,U041,E08,Core Sound Jarrett Bay,2,-76.49934276933729,34.775445512187666
2-C-89,U127,C01,Mill Creek,1.5,-77.37337479540818,34.52449067440657
887,U092,E04,Newport River,1,-76.72677246649418,34.77322257847059
725A,U096,E04,Newport River,1.5,-76.66503767569404,34.75889661053035
877,U102,E06,North River,1.5,-76.60686904928745,34.79022059271986
8403,U131,B09,Stump Sound,1.5,-77.53788392726817,34.44950324118906
8402A,U131,B09,Stump Sound,1.5,-77.5359349682097,34.449138440429635
8402B,U131,B09,Stump Sound,1.5,-77.53776581294095,34.44818312792875
684,U030,F04,Cedar Island,4,-76.30205523190452,35.002349022013156
879,U128,C01,Mill Creek,1.5,-77.41507864513925,34.49654046409632
385,U131,B09,Stump Sound,1.5,-77.50750728869053,34.46471483437293
885,U126,C02,Sneads Ferry,3,-77.39318164842311,34.57372680221292
25-67,U131,B09,Stump Sound,1.5,-77.51329084154168,34.45419169446511
186,U130,B09,Stump Sound,1.5,-77.47195273531572,34.474082318377334
425,U130,B09,Stump Sound,1.5,-77.47649128556176,34.47172470006152
703,U102,E06,North River,1.5,-76.60522517149425,34.79356224334268
9610,U063,D03,White Oak River,1.5,-77.11151394870694,34.70231023479771
62-75,U144,B08,Topsail Sound,3,-77.59465990795842,34.40193629482594
432,U131,B09,Stump Sound,1.5,-77.54314018471699,34.444743460572255
440,U146,B08,Topsail Sound,3,-77.55969134654006,34.42240869713916
8501A,U144,B08,Topsail Sound,3,-77.59398971133646,34.40239534718709
477,U102,E06,North River,1.5,-76.60545094521379,34.795053220070784
504,U099,E06,North River,1.5,-76.61837975582279,34.766666122541686
570B,U042,E08,Core Sound Jarrett Bay,2,-76.51525650403677,34.75637267092414
9411,U118,G06,Silver Lake Ocracoke,4,-75.96422780036046,35.121146097129134
334,U130,B09,Stump Sound,1.5,-77.4689147508127,34.47325504728082
222,U131,B09,Stump Sound,1.5,-77.54360181144833,34.44224337586119
518,U091,E04,Newport River,1,-76.7366961634959,34.76358553029402
539,U145,B08,Topsail Sound,2.5,-77.55867513348045,34.43176591060017
64-75A,U073,E09,Core Sound Atlantic Bay Nelson Bay,4,-76.39265424600923,34.856376729096326
64-75B,U073,E09,Core Sound Atlantic Bay Nelson Bay,4,-76.3941338943607,34.85677685573024
1062926,U036,G03,Swanquarter Bay,4,-76.40952529349923,35.43961367247361
6-C-90,U126,C02,Sneads Ferry,3,-77.33939369395401,34.57072954526581
749,U131,B09,Stump Sound,1.5,-77.5346068969119,34.44926760057829
8804,U131,B09,Stump Sound,1.5,-77.5469798245501,34.444075199801034
493,U131,B09,Stump Sound,1.5,-77.50818436173401,34.46149519143736
9811,U142,B08,Topsail Sound,3,-77.69804552562165,34.32339698025835
9810,U142,B08,Topsail Sound,3,-77.7028557134996,34.32634969391423
797,U030,F04,Cedar Island,4,-76.30650979225166,34.992717848103
753186-A,U145,B08,Topsail Sound,2.5,-77.55721898741083,34.430042962185276
753186-B,U145,B08,Topsail Sound,2.5,-77.55648080261027,34.43135532454007
4-C-89,U127,C01,Mill Creek,1.5,-77.3788217847173,34.537743603684206
19-C-92,U128,C01,Mill Creek,1.5,-77.38100212104268,34.51233814910159
363,U129,B09,Stump Sound,1.5,-77.46061881294195,34.49258636316492
791,U096,E04,Newport River,1.5,-76.66388387660638,34.7575322256118
91-80,U091,E04,Newport River,1,-76.74492897593127,34.770766425551585
614,U131,B09,Stump Sound,1.5,-77.53918564196158,34.43558876613224
9705,U098,E06,North River,1.5,-76.57670185430416,34.73864779539238
1062918,U036,G03,Swanquarter Bay,4,-76.41780015021207,35.435851741748046
1084359,U037,G03,Swanquarter Bay,4,-76.45949520033592,35.406601095873185
32-C-95,U127,C01,Mill Creek,1.5,-77.37740396156552,34.53800273995801
33-C-95,U127,C01,Mill Creek,1.5,-77.37681197351436,34.538114367852074
34-C-95,U127,C01,Mill Creek,1.5,-77.37622301830947,34.53818017979771
35-C-95,U127,C01,Mill Creek,1.5,-77.37554882032853,34.538340755195954
36-C-95,U127,C01,Mill Creek,1.5,-77.3749305783186,34.53861482487301
37-C-95,U127,C01,Mill Creek,1.5,-77.37415765216292,34.538722325630545
38-C-95,U127,C01,Mill Creek,1.5,-77.3740464607947,34.53907436301673
39-C-95,U127,C01,Mill Creek,1.5,-77.37405758462143,34.53925519688691
40-C-95,U127,C01,Mill Creek,1.5,-77.37409889749789,34.53945721165376
900779,U045,G04,Wysocking Bay,4,-76.07578769398089,35.4056429928072
8-C-91,U127,C01,Mill Creek,1.5,-77.37335005740641,34.53214344019145
538,U145,B08,Topsail Sound,2.5,-77.57313748628003,34.42756105045353
18-C-92,U035,G03,Swanquarter Bay,4,-76.32410081862469,35.38614249166296
3-C-89,U140,G03,Swanquarter Bay,4,-76.40460522168104,35.34780936174371
16-C-91,U138,F06,Bay River,4,-76.61429893975144,35.20079835392176
24-C-93,U138,F06,Bay River,4,-76.60199207549347,35.202025109010805
989749,U137,F06,Bay River,4,-76.61296605411273,35.15306393810236
7-C-90,U137,F06,Bay River,4,-76.60457028660757,35.18965302753739
20-C-92,U137,F06,Bay River,4,-76.61262510233891,35.18146639663806
9712,U096,E04,Newport River,1.5,-76.6657872879846,34.758117386781464
744,U125,C03,New River,3,-77.41724265521555,34.57571775765959
746,U125,C03,New River,3,-77.41868437804668,34.57629177441847
881003,U037,G03,Swanquarter Bay,4,-76.47739709940589,35.398650893325794
8916,U035,G03,Swanquarter Bay,4,-76.35313808110101,35.36778678964925
1459247,U080,F03,West Bay,4,-76.39814446302049,34.940837995621145
1226208,U120,H01,Roanoke Sound,4,-75.5498800475782,35.78351755393951
751,U125,C03,New River,3,-77.41934434883318,34.57655810914829
8917,U035,G03,Swanquarter Bay,4,-76.35344801077153,35.36856305933689
9209,U036,G03,Swanquarter Bay,4,-76.41428018615873,35.43202702272091
850,U098,E06,North River,1.5,-76.62164355257896,34.73969058887888
647,U100,E06,North River,1.5,-76.60696538963643,34.78908258608469
864,U126,C02,Sneads Ferry,3,-77.39748491090006,34.58053848546794
1194059,U142,B08,Topsail Sound,3,-77.67459727172289,34.33598104079201
9301,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.39775095293274,34.86703715953419
9509,U072,E09,Core Sound Atlantic Bay Nelson Bay,2,-76.39596951868795,34.870462341982545
